lon,lat,Price,n
18.4233392,-34.1939746,1650000,10
18.5031981,-33.9644851,1799000,33
18.8694618,-34.0770688,5297500,4
18.3816148,-33.9636423,19975000,18
18.3793897,-33.9283054,14995000,103
18.3676884,-34.0438171,6900000,11
18.4483763,-33.7471897,1850000,41
18.4305563,-34.0118563,35000000,1
18.5181188,-33.9694547,1497500,6
18.5151507,-33.9833679,2599000,6
18.3912573,-34.101375,8900000,7
18.3601056,-34.0362555,6200000,8
18.4543113,-34.0479376,3995000,35
18.4424414,-33.9905944,23950000,31
18.4424414,-33.9905944,7850000,7
18.3555565,-34.1398324,3692500,8
18.4142522,-33.9182226,3325000,60
18.3883333,-34.0280556,5625000,4
18.4813171,-33.9084907,949500,52
18.4839878,-34.0594717,822000,2
18.4293987,-34.1621946,5800000,7
18.3830983,-33.951298,14950000,329
18.4187029,-33.9242692,2290000,1147
18.3867512,-34.1340394,2600000,39
18.4884394,-34.0923802,2400000,32
18.4293478,-33.9287627,14000000,1
18.3942243,-34.1157007,1960000,30
18.3594444,-34.0883333,5697500,14
18.4721169,-33.9860035,2350000,167
18.4721169,-33.9860035,3250000,200
18.3738363,-33.941476,26499975,56
18.430572,-34.1215036,4495000,17
18.4230789,-34.0257608,12500000,197
18.4373766,-34.0083297,14500000,1
18.4159523,-34.0217122,7095000,1
18.3906915,-34.0119808,5172500,10
18.4825039,-34.0959888,1100000,9
18.5032788,-33.9798291,4125000,24
18.3875487,-34.1079957,3700000,10
18.4194447,-33.9154021,3897000,260
18.4320557,-33.9370192,3575000,6
18.4268629,-34.1711061,3335000,4
18.4646978,-34.0342279,1725531.5,86
37.7922428,-46.7943896,3750000,1
18.4736007,-34.0436054,1199500,2
18.51524,-33.9092399,815000,1
18.3853235,-34.129169,2150000,7
18.4943751,-34.0242493,2395000,3
18.5013601,-34.01830270000001,1822500,2
18.4187029,-34.1340882,2165000,149
18.4409577,-33.9221814,3250000,103
18.3875487,-33.9250297,9950000,167
18.4535694,-34.2072437,5495000,5
18.460327499999998,-34.0792774,1575000,11
18.4083179,-33.9352956,2495000,258
18.5129247,-33.9655519,2400000,5
18.426492,-34.1674705,1350000,5
18.4310039,-34.1648439,2950000,14
18.4283465,-34.1534172,4345000,6
18.3771645,-34.0921236,39500000,3
18.5037807,-34.0478878,1697000,62
18.4064322,-33.9069597,3899999.5,404
18.3654694,-34.0545661,4700000,6
18.4376194,-34.1959578,2950000,1
18.4747354,-33.9900189,2319500,34
18.3935647,-34.1195884,1695000,1
18.5062468,-33.9551508,1894500,6
18.4676654,-34.047214,1150000,49
18.3467557,-34.0275473,4972500,2
18.3977253,-33.9408734,15000000,34
18.426758,-34.025212,7950000,1
18.4661802,-34.1049014,10650000,4
18.34996,-34.04386,5395000,17
18.3682641,-34.0208739,4500000,104
18.3443762,-34.0568089,1562500,4
18.4022083,-34.0113928,3300000,1
18.3657699,-34.0244519,2495000,1
18.4328737,-34.0336945,6500000,1
18.3608473,-34.1389915,2422500,8
18.4461507,-34.1291678,5300000,28
18.4729421,-33.9948234,1695000,123
18.4729421,-33.9948234,2992500,154
18.373456,-34.0126746,7500000,5
18.5070792,-33.9121443,1499000,37
18.495859,-33.9930865,2662500,16
18.5185713,-33.9571902,1295000,3
18.4543113,-34.06944780000001,2495000,21
18.3472288,-34.0271449,6250000,1
18.340081,-34.1314404,4950000,9
18.3292082,-34.1403053,3822500,42
18.442574,-34.033522,5772500,4
18.34416,-34.0296282,4100000,10
18.3775354,-34.1206283,5675000,21
18.4557951,-34.0866913,3575000,28
18.4966927,-33.9860552,2197500,36
18.4914073,-34.0731057,499999,11
18.3813935,-34.1290399,950000,1
18.3430475,-34.0099528,27000000,42
18.3871665,-34.0110992,6495000,6
18.5166348,-34.0355838,1422000,16
18.5018726,-33.9203804,1463700,114
18.4854717,-33.9341454,799500,2
18.4721169,-34.0881935,2900000,45
18.4500406,-34.0327786,4095000,8
21.8568586,-33.2277918,7595000,3
18.3825909,-34.125613,1445000,8
18.3634431,-34.1846012,11300000,6
18.4031254,-33.900409,4200000,141
18.3497223,-34.0176728,5650000,5
18.524797,-33.9865781,2000000,5
18.4769785,-33.9480139,2147500,78
18.495859,-34.0898847,1585000,146
18.4587626,-34.2097933,4495000,9
18.4983863,-33.9274216,1995000,13
18.4483763,-33.9789129,6450000,148
18.4271349,-34.0750688,6999999,13
18.3868069,-34.0993736,5895000,5
18.4001584,-34.1067208,3500000,1
18.3898173,-34.0140302,5200000,4
18.4859794,-33.913689,3000000,4
18.5782271,-33.8854231,2600000,1
18.3484752,-34.0444775,3650000,28
18.3747927,-34.0201759,5825000,2
18.4687792,-33.9382014,1995000,333
18.3534306,-34.1495402,850000,17
18.4127686,-33.9413411,2750000,140
18.5092147,-34.0111888,1672500,84
18.5121827,-34.0214856,1300000,5
18.38796,-34.01735,4350000,13
18.4721169,-33.9160194,3850000,25
18.4222775,-34.1284178,2100000,1
18.5418641,-34.0840757,2400000,5
18.5196028,-34.0700702,850000,55
18.5218289,-33.9816586,2672500,6
18.3601056,-34.0335651,3950000,7
18.5181188,-33.9909777,1300000,1
18.5086335,-33.933476400000004,1895000,192
18.4761775,-34.0259442,2195000,150
18.4750987,-34.0392801,2650000,1
18.4075761,-34.2009456,5595000,1
18.4721169,-34.0613123,1550000,25
18.458881,-34.0708137,950000,1
18.3636322,-34.0223849,36000000,1
18.4762773,-33.9635803,2250000,242
18.497343,-33.97536830000001,3850000,26
18.490014,-33.9564711,3250000,1
18.4872416,-33.9520111,1800000,27
18.4754075,-33.95400619999999,1525000,87
18.3586222,-34.0122671,16947500,8
18.5270231,-33.9707629,1995000,17
18.4712131,-33.9076061,1800000,79
18.3934826,-34.1043916,4999000,11
18.3738548,-34.1969183,5699000,21
18.363814,-34.0417377,4500000,49
18.3875487,-33.9169494,3995000,726
18.4461507,-34.1989982,2250000,18
18.4825039,-34.0771751,707000,4
18.4135104,-34.1275018,1837500,2
18.431003,-34.0193895,8950000,1
18.524055,-33.9631517,1295000,1
18.4363381,-34.0799952,8995000,18
18.4246444,-34.081236,14900000,5
18.4331684,-34.19597630000001,2475000,10
18.4356653,-34.1937654,3475000,58
18.4356653,-34.1937654,3520000,1
18.4854717,-34.036387,2295000,25
18.4550532,-34.1197277,12500000,30
18.470633,-34.0736398,1670000,6
18.4216702,-34.0718092,14995000,16
18.3986749,-34.1324818,5100000,5
18.4439252,-34.0858414,6550000,33
18.3964496,-34.1254355,2625000,6
18.3875487,-34.1241224,2400000,33
18.5003109,-33.9560712,2800000,3
18.4023837,-33.9281313,3195000,91
18.5129238,-33.9415921,4022500,4
18.4512615,-34.1972084,10250000,2
18.3824618,-33.9478725,5999000,1
18.3697475,-34.0246816,6995000,13
18.4409577,-34.0621045,3995000,82
18.442142,-33.995714,6450000,1
18.4520857,-33.938637,3197500,6
19.295048,-33.4006883,7500000,19
18.3578527,-34.0169114,7900000,12
18.4231538,-33.9410855,3495000,199
18.4439252,-33.9351863,2750000,31
18.0424534,-33.0619199,13995000,72
18.4060925,-34.1541736,2495000,9
18.4424414,-34.0766622,3720000,7
18.5121827,-34.00534870000001,1545000,20
18.5181188,-33.9075484,1157500,2
18.4497262,-33.929413,1900000,408
18.4661816,-34.00844560000001,975000,139
18.4661816,-34.00844560000001,2195000,141
18.4676654,-34.082164,2450000,1
18.5151507,-34.0613545,2650000,20
18.3985875,-34.1089261,5495000,1
18.4273449,-33.9313298,1780000,230
18.4189281,-34.0663005,12995000,16
